"deviceType","duration_sec"
"TILE","22907375"
"TILE","22901713"
"TILE","22900772"
"TILE","22898277"
"TILE","21791917"
"TILE","21777470"
"TILE","21626528"
"TILE","21624372"
"TILE","21612670"
"TILE","21196152"
"TILE","21192907"
"TILE","21019788"
"TILE","21015856"
"TILE","21011971"
"TILE","21005185"
"TILE","21001061"
"TILE","21000019"
"TILE","20998067"
"TILE","20997044"
"TILE","20996079"
"TILE","20590113"
"TILE","20587540"
"TILE","20584022"
"TILE","20581753"
"TILE","20577114"
"TILE","20569215"
"TILE","20407956"
"TILE","20398152"
"TILE","20391264"
"TILE","19897622"
"TILE","19892249"
"TILE","19888212"
"TILE","19881800"
"TILE","19641888"
"TILE","19374048"
"TILE","19364149"
"TILE","19209948"
"TILE","19208046"
"TILE","19201080"
"TILE","19198167"
"TILE","18606346"
"TILE","18600552"
"TILE","18591790"
"TILE","18070673"
"TILE","17998461"
"TILE","17980585"
"TILE","17979160"
"TILE","17977856"
"TILE","17975478"
"TILE","17481281"
"TILE","17471206"
"TILE","17392430"
"TILE","17391399"
"TILE","17387506"
"TILE","17386132"
"TILE","17379170"
"TILE","17370283"
"TILE","16782052"
"TILE","16772918"
"TILE","16266293"
"TILE","16266293"
"TILE","16263708"
"TILE","16246902"
"TILE","16182235"
"TILE","16181274"
"TILE","16178053"
"TILE","16176874"
"TILE","16173336"
"TILE","16168815"
"TILE","16166605"
"TILE","16163539"
"TILE","16161513"
"TILE","14196605"
"TILE","14193755"
"TILE","14192798"
"TILE","14191740"
"TILE","14190662"
"TILE","14189514"
"TILE","14187764"
"TILE","14187764"
"TILE","14176934"
"TILE","14175017"
"TILE","13932313"
"TILE","13916663"
"TILE","13830697"
"TILE","28816"
"TILE","26860"
"TILE","25931"
"TILE","24951"
"TILE","23892"
"TILE","21839"
"TILE","19480"
"TILE","14143"
"TILE","12616"
"TILE","8789"
"TILE","4514"
"TILE","3491"
"TILE","1476"
"TILE","527"
"TILE","27733352"
"TILE","27244822"
"TILE","27240835"
"TILE","27223718"
"TILE","27217132"
"TILE","26631230"
"TILE","26627399"
"TILE","26466350"
"TILE","26459732"
"TILE","26456801"
"TILE","26450642"
"TILE","26447733"
"TILE","26440013"
"TILE","26437944"
"TILE","26026119"
"TILE","26025167"
"TILE","26021633"
"TILE","26016858"
"TILE","26006555"
"TILE","26005639"
"TILE","25417971"
"TILE","25337491"
"TILE","25325460"
"TILE","25253777"
"TILE","25247793"
"TILE","25246760"
"TILE","25232117"
"TILE","25228811"
"TILE","24133933"
"TILE","24128444"
"TILE","24127506"
"TILE","24107868"
"TILE","24037427"
"TILE","24019812"
"TILE","23615799"
"TILE","23595121"
"TILE","23526644"
"TILE","23525677"
"TILE","23524709"
"TILE","23516889"
"TILE","23507795"
"TILE","23501696"
"TILE","23498703"
"TILE","23439536"
"TILE","23431460"
"TILE","23428577"
"TILE","23416234"
"TILE","23413219"
"TILE","23411967"
"TILE","23001184"
"TILE","22994765"
"TILE","22989838"
"TILE","22986719"
"TILE","22985720"
"TILE","22979293"
"TILE","22978053"
"TILE","22921777"
"TILE","22920396"
"TILE","22919445"
"TILE","22914024"
"TILE","22892927"
"TILE","22830882"
"TILE","22829951"
